duration_days,probability,count
0.105,0.058824,1
0.349,0.058824,1
0.573,0.058824,1
1.425,0.058824,1
1.623,0.058824,1
2.617,0.058824,1
2.911,0.058824,1
4.444,0.058824,1
6.273,0.058824,1
6.534,0.117647,2
13.152,0.058824,1
16.450,0.058824,1
17.847,0.058824,1
51.873,0.058824,1
99.920,0.058824,1
1342.366,0.058824,1
