length,prob
0.105,0.058824
0.349,0.058824
0.573,0.058824
1.425,0.058824
1.623,0.058824
2.617,0.058824
2.911,0.058824
4.444,0.058824
6.273,0.058824
6.534,0.117647
13.152,0.058824
16.450,0.058824
17.847,0.058824
51.873,0.058824
99.920,0.058824
1342.366,0.058824
