stage,sampling_mode,distribution,parameters,service_time_scale,cap_days,sample_count,empirical_count,empirical_mean_days,empirical_p95_days,empirical_p99_days,empirical_max_days
DEV,empirical,lognormal,"{'mu': 2.596197855368563, 'sigma': 4.826718427500432}",0.041666666666666664,1590.7945708333332,190,190.0,173.50051410087715,1137.2124666666666,1590.7945708333332,4260.5034375
REVIEW,empirical,weibull,"{'scale': 404.58150021852566, 'shape': 0.5044680674568907}",0.041666666666666664,223.2717833333333,190,190.0,34.48497664473685,124.57583333333334,223.2717833333333,1342.36565
TESTING,empirical,lognormal,"{'mu': -2.73619168979848, 'sigma': 4.617217980322845}",0.041666666666666664,194.7418875,105,105.0,12.47403345238095,49.586191666666664,194.7418875,302.359375
