key,dev_duration_days,review_duration_days,test_duration_days
BOOKKEEPER-250,,,
BOOKKEEPER-251,,,
BOOKKEEPER-252,,,
BOOKKEEPER-254,,,
BOOKKEEPER-257,,,
BOOKKEEPER-258,,,
BOOKKEEPER-259,,,
BOOKKEEPER-260,,,
BOOKKEEPER-262,,,
BOOKKEEPER-263,,,
BOOKKEEPER-265,,,
BOOKKEEPER-266,,,
BOOKKEEPER-268,,,
BOOKKEEPER-269,,,
BOOKKEEPER-270,,,
BOOKKEEPER-271,,,
BOOKKEEPER-272,,,
BOOKKEEPER-275,,,
BOOKKEEPER-273,,,
BOOKKEEPER-274,,,
BOOKKEEPER-276,,,
BOOKKEEPER-278,,,
BOOKKEEPER-279,,,
BOOKKEEPER-280,,,
BOOKKEEPER-281,,,
BOOKKEEPER-283,,,
BOOKKEEPER-285,,,
BOOKKEEPER-286,,,
BOOKKEEPER-287,,,
BOOKKEEPER-288,,,
BOOKKEEPER-289,,,
BOOKKEEPER-290,,,
BOOKKEEPER-291,,,
BOOKKEEPER-292,,,
BOOKKEEPER-293,,,
BOOKKEEPER-294,,,
BOOKKEEPER-296,,,
BOOKKEEPER-298,,,
BOOKKEEPER-299,,,
BOOKKEEPER-300,,,
BOOKKEEPER-302,,,
BOOKKEEPER-303,,,
BOOKKEEPER-304,,,
BOOKKEEPER-306,,,
BOOKKEEPER-307,,,
BOOKKEEPER-308,,,
BOOKKEEPER-309,,,
BOOKKEEPER-310,,,
BOOKKEEPER-311,,,
BOOKKEEPER-312,,,
BOOKKEEPER-313,,,
BOOKKEEPER-314,,,
BOOKKEEPER-315,,,
BOOKKEEPER-317,,,
BOOKKEEPER-318,,,
BOOKKEEPER-319,,,
BOOKKEEPER-320,,,
BOOKKEEPER-321,,,
BOOKKEEPER-322,,,
BOOKKEEPER-324,,,
BOOKKEEPER-325,,,
BOOKKEEPER-326,,,
BOOKKEEPER-327,,,
BOOKKEEPER-328,,,
BOOKKEEPER-329,,,
BOOKKEEPER-330,,,
BOOKKEEPER-331,,,
BOOKKEEPER-332,,,
BOOKKEEPER-333,,,
BOOKKEEPER-334,,,
BOOKKEEPER-335,,,
BOOKKEEPER-336,,,
BOOKKEEPER-337,,,
BOOKKEEPER-338,,,
BOOKKEEPER-339,,,
BOOKKEEPER-340,,,
BOOKKEEPER-341,,,
BOOKKEEPER-342,,,
BOOKKEEPER-343,,,
BOOKKEEPER-345,,,
BOOKKEEPER-346,,,
BOOKKEEPER-347,,,
BOOKKEEPER-348,,,
BOOKKEEPER-349,,,
BOOKKEEPER-351,,,
BOOKKEEPER-352,,,
BOOKKEEPER-354,,,
BOOKKEEPER-355,,,
BOOKKEEPER-363,,,
BOOKKEEPER-364,,,
BOOKKEEPER-365,,,
BOOKKEEPER-367,,,
BOOKKEEPER-368,,,
BOOKKEEPER-369,,,
BOOKKEEPER-370,,,
BOOKKEEPER-371,,,
BOOKKEEPER-372,,,
BOOKKEEPER-374,,,
BOOKKEEPER-375,,,
BOOKKEEPER-376,,,
BOOKKEEPER-377,,,
BOOKKEEPER-378,,,
BOOKKEEPER-380,,,
BOOKKEEPER-381,,,
BOOKKEEPER-382,,,
BOOKKEEPER-383,,,
BOOKKEEPER-384,,,
BOOKKEEPER-385,,,
BOOKKEEPER-386,,,
BOOKKEEPER-387,,,
BOOKKEEPER-388,,,
BOOKKEEPER-389,,,
BOOKKEEPER-390,1526.9714814814815,139.18148148148148,
BOOKKEEPER-391,1542.9647800925925,180.799375,0.0009027777777777
BOOKKEEPER-391,1542.9647800925925,180.799375,0.0009027777777777
BOOKKEEPER-392,,,
BOOKKEEPER-394,,,
BOOKKEEPER-395,,,
BOOKKEEPER-396,,,
BOOKKEEPER-397,,,
BOOKKEEPER-398,,,
BOOKKEEPER-399,,,
BOOKKEEPER-403,,,
BOOKKEEPER-404,,,
BOOKKEEPER-405,,,
BOOKKEEPER-408,,,
BOOKKEEPER-409,,,
BOOKKEEPER-411,,,
BOOKKEEPER-412,,,
BOOKKEEPER-413,,,
BOOKKEEPER-414,,,
BOOKKEEPER-415,,,
BOOKKEEPER-416,,,
BOOKKEEPER-417,,,
BOOKKEEPER-418,,,
BOOKKEEPER-422,,,
BOOKKEEPER-424,,,
BOOKKEEPER-425,,,
BOOKKEEPER-426,,,
BOOKKEEPER-427,,,
BOOKKEEPER-428,,,
BOOKKEEPER-429,,,
BOOKKEEPER-430,,,
BOOKKEEPER-431,,,
BOOKKEEPER-432,,,
BOOKKEEPER-434,,,
BOOKKEEPER-435,,,
BOOKKEEPER-436,,,
BOOKKEEPER-438,,,
BOOKKEEPER-439,,,
BOOKKEEPER-440,,,
BOOKKEEPER-441,,,
BOOKKEEPER-442,,,
BOOKKEEPER-444,,,
BOOKKEEPER-446,,,
BOOKKEEPER-447,,,
BOOKKEEPER-448,,,
BOOKKEEPER-449,,,
BOOKKEEPER-450,,,
BOOKKEEPER-452,,,
BOOKKEEPER-453,,,
BOOKKEEPER-454,,,
BOOKKEEPER-457,,,
BOOKKEEPER-458,,,
BOOKKEEPER-459,,,
BOOKKEEPER-460,,,
BOOKKEEPER-461,,,
BOOKKEEPER-463,,,
BOOKKEEPER-464,,,
BOOKKEEPER-465,,,
BOOKKEEPER-466,,,
BOOKKEEPER-467,,,
BOOKKEEPER-468,,,
BOOKKEEPER-469,,,
BOOKKEEPER-470,,,
BOOKKEEPER-471,,,
BOOKKEEPER-472,,,
BOOKKEEPER-473,,,
BOOKKEEPER-474,,,
BOOKKEEPER-475,,,
BOOKKEEPER-476,,,
BOOKKEEPER-477,,,
BOOKKEEPER-479,,,
BOOKKEEPER-480,,,
BOOKKEEPER-481,,,
BOOKKEEPER-482,,,
BOOKKEEPER-483,,,
BOOKKEEPER-484,,,
BOOKKEEPER-485,,,
BOOKKEEPER-487,,,
BOOKKEEPER-488,,,
BOOKKEEPER-490,,,
BOOKKEEPER-491,,,
BOOKKEEPER-492,,,
BOOKKEEPER-493,,,
BOOKKEEPER-494,,,
BOOKKEEPER-495,,,
BOOKKEEPER-496,,,
BOOKKEEPER-497,,,
BOOKKEEPER-498,,,
BOOKKEEPER-500,,,
BOOKKEEPER-502,,,
BOOKKEEPER-503,,,
BOOKKEEPER-504,,,
BOOKKEEPER-506,,,
BOOKKEEPER-507,,,
BOOKKEEPER-509,,,
BOOKKEEPER-510,,,
BOOKKEEPER-511,,,
BOOKKEEPER-512,,,
BOOKKEEPER-513,,,
BOOKKEEPER-514,,,
BOOKKEEPER-520,,,
BOOKKEEPER-521,,,
BOOKKEEPER-522,,,
BOOKKEEPER-523,,,
BOOKKEEPER-524,,,
BOOKKEEPER-525,,,
BOOKKEEPER-526,,,
BOOKKEEPER-529,,,
BOOKKEEPER-530,,,
BOOKKEEPER-531,,,
BOOKKEEPER-532,,,
BOOKKEEPER-533,,,
BOOKKEEPER-534,,,
BOOKKEEPER-537,,,
BOOKKEEPER-538,,,
BOOKKEEPER-539,,,
BOOKKEEPER-540,,,
BOOKKEEPER-541,,,
BOOKKEEPER-542,,,
BOOKKEEPER-543,,,
