phase,count,mean,median,variance,stdev,min,max,p10,p25,p75,p90,best_fit,parameters
dev,190,4164.01233625731,16.860277777777778,135170319.63873574,11626.277118610915,0.012222222222222223,102252.0825,0.03652777777777778,0.10180555555555555,1447.8863888888889,14029.888222222218,lognormal,"{""mu"": 2.596197855368563, ""sigma"": 4.826718427500432}"
review,190,827.6394400584795,190.21833333333333,6348854.410280134,2519.6933167114075,0.04861111111111111,32216.775555555556,3.072888888888889,25.061041666666668,828.9465972222222,2150.8458888888886,weibull,"{""scale"": 404.58150021852566, ""shape"": 0.5044680674568907}"
testing,122,257.6603597449909,0.009722222222222222,1128974.568940817,1062.5321496033976,0.0,7256.625,0.0,0.001388888888888889,0.07034722222222221,253.5231944444452,lognormal,"{""mu"": -2.73619168979848, ""sigma"": 4.617217980322845}"
