Distribuzione,Parametri,MSE_KDE_PDF,KS_pvalue,AIC,BIC,Mean,Std,Plausible
Lognormale,"[2.3273, 0, 6.2162]",1.4344116602220143e-05,0.02329057765192777,1609.5965362524296,1619.4308802301211,93.25433141743245,1395.8739240644543,True
Weibull,"[0.524617, 0, 18.4379]",inf,0.7311409929587351,1590.712393722802,1600.5467377004936,33.87629813439805,70.89847164887745,True
Esponenziale,"[0, 35.046]",3.2599448788422433e-06,8.043579057298443e-14,1790.2108260102618,1796.7670553287228,35.04595745937264,35.04595745937264,True
Normale,"[35.046, 103.083]",8.937135810452537e-07,3.549322259143892e-24,2377.3546153522047,2383.910844670666,35.04595745937264,103.08331310454963,True
