phase,count,missing_share,mean,median,std,min,p25,p75,max
development,196,0.7958333333333334,148.3593252196712,0.702511574074074,378.2352098444643,0.0005092592592592,0.0061111111111111,49.737358217592586,2268.0831597222223
review,196,0.7958333333333334,35.04595745937264,9.241672453703703,103.34729129120478,0.0123379629629629,1.3590306712962963,37.982265625,1342.3656481481482
testing,118,0.8770833333333333,10.709216003609543,0.00046874999999995,44.51014920387888,0.0,0.000107060185185125,0.0034837962962962,302.359375
