stage,dist,s,c,loc,scale,mean,std,mse
development,norm,,,148.359,377.269,148.3593252196712,377.2690902338155,1.5769050931930558e-07
review,norm,,,35.046,103.083,35.04595745937264,103.08331310454965,8.937135810452537e-07
testing,norm,,,10.7092,44.3211,10.709216003609544,44.32114559338012,8.840706095561969e-06
