Distribuzione,Parametri,MSE_KDE_PDF,KS_pvalue,AIC,BIC,Mean,Std,Plausible
Lognormale,"[4.7157, 0, 0.57129]",1.5942716451737848e-06,0.039467960551809345,950.7110231690414,960.5453671467329,38524.896671840535,2597925340.0543265,False
Weibull,"[0.227528, 0, 6.19905]",inf,0.009738687691207051,971.5386569351413,981.3730009128328,274.3061667012411,2939.039292996323,True
Esponenziale,"[0, 148.359]",3.8816229064591646e-07,1.0034839802663334e-76,2355.8577841043543,2362.4140134228155,148.3593252196712,148.3593252196712,True
Normale,"[148.359, 377.269]",1.5769050931930556e-07,1.6196115169125514e-24,2885.943715430266,2892.499944748727,148.3593252196712,377.2690902338155,True
