Distribuzione,Parametri,MSE_KDE_PDF,KS_pvalue,AIC,BIC,Mean,Std,Plausible
Lognormale,"[2.509, 0, 20.4988]",2.2371569243456788e-06,0.5054324698877506,9513.198396494798,9527.561931441727,477.18640325872667,11098.072210646533,True
Weibull,"[0.433614, 0, 69.9221]",inf,0.0037018865002611295,9564.34222887671,9578.70576382364,188.84041700759735,520.9935265237935,True
Esponenziale,"[0, 215.729]",1.1258547199673309e-07,3.83104491277527e-152,11311.515450662362,11321.09114062698,215.72883775157626,215.72883775157626,True
Normale,"[215.729, 521.484]",1.622676384243615e-07,2.109340591087179e-99,13620.543097704118,13630.118787668736,215.72883775157626,521.4835047928592,True
